,Book_ID,Author,Title,URL,LoC_class,Subject,Subject2,Subject3,Subject4
10471,50272,"Colton, Arthur",The Cruise of The Violetta,http://www.gutenberg.org/files/50272/50272-0.txt,PS,Missions -- Fiction,Yachts -- Fiction,Rich people -- Fiction,Voyages and travels -- Fiction
10489,463,"Crane, Stephen",The Red Badge of Courage: An Episode of the American Civil War,http://www.gutenberg.org/ebooks/463.txt.utf-8,PS,War stories,"United States -- History -- Civil War, 1861-1865 -- Fiction",Historical fiction,"Chancellorsville, Battle of, Chancellorsville, Va., 1863 -- Fiction"
10866,23250,"Catherwood, Mary Hartwell","The Skeleton On Round Island From ""Mackinac And Lake Stories"", 1899",http://www.gutenberg.org/files/23250/23250-0.txt,PS,Mackinac Island (Mich. : Island) -- Fiction,Michigan -- Fiction,United States -- Social life and customs -- Fiction,
11108,27251,"Richards, Laura Elizabeth Howe",Some Say; Neighbours in Cyrus,http://www.gutenberg.org/ebooks/27251.txt.utf-8,PS,Sick -- Juvenile fiction,PZ,Conduct of life -- Juvenile fiction,Youth -- Conduct of life -- Juvenile fiction
11221,42428,"Sedgwick, Anne Douglas",Adrienne Toner: A Novel,http://www.gutenberg.org/ebooks/42428.txt.utf-8,England -- Social life and customs -- 20th century -- Fiction,PR,Triangles (Interpersonal relations) -- Fiction,Americans -- England -- Fiction,Man-woman relationships -- Fiction
11269,751,"Holmes, Oliver Wendell",The Autocrat of the Breakfast-Table,http://www.gutenberg.org/files/751/751-0.txt,PS,American fiction -- 19th century,Conversation -- Fiction,Boardinghouses -- Fiction,Poetry
11388,40795,"Benson, E. F. (Edward Frederic)",Scarlet and Hyssop: A Novel,http://www.gutenberg.org/ebooks/40795.txt.utf-8,Married people -- Fiction,PR,Man-woman relationships -- Fiction,London (England) -- Social life and customs -- Fiction,
11395,45687,"Pool, Maria Louise",Friendship and Folly: A Novel,http://www.gutenberg.org/ebooks/45687.txt.utf-8,Married people -- Fiction,PS,Triangles (Interpersonal relations) -- Fiction,Man-woman relationships -- Fiction,Elopement -- Fiction
11735,1720,"Chesterton, G. K. (Gilbert Keith)",The Man Who Knew Too Much,http://www.gutenberg.org/ebooks/1720.txt.utf-8,PR,Great Britain -- Fiction,Aristocracy (Social class) -- Fiction,"Detective and mystery stories, English",
12554,25344,"Hawthorne, Nathaniel",The Scarlet Letter,http://www.gutenberg.org/files/25344/25344-0.txt,"Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction",PS,Revenge -- Fiction,Clergy -- Fiction,Psychological fiction
12875,23254,"Catherwood, Mary Hartwell","The Cobbler In The Devil's Kitchen From ""Mackinac And Lake Stories"", 1899",http://www.gutenberg.org/files/23254/23254-0.txt,PS,Mackinac Island (Mich. : Island) -- Fiction,Michigan -- Fiction,United States -- Social life and customs -- Fiction,
13012,16473,"Richards, Laura Elizabeth Howe",Queen Hildegarde,http://www.gutenberg.org/ebooks/16473.txt.utf-8,PZ,Young women -- Conduct of life -- Juvenile fiction,Farm life -- Juvenile fiction,,
13166,43423,"Cannan, Gilbert","Old Mole Being the Surprising Adventures in England of Herbert Jocelyn Beenham, M.A., Sometime Sixth-Form Master at Thrigsby Grammar School in the County of Lancaster",http://www.gutenberg.org/ebooks/43423.txt.utf-8,PR,England -- Fiction,Husband and wife -- Fiction,Man-woman relationships -- Fiction,Theater -- Fiction
13378,34156,"Sudermann, Hermann",The Undying Past,http://www.gutenberg.org/ebooks/34156.txt.utf-8,Germany -- Fiction,Sin -- Fiction,German fiction -- Translations into English,PT,
13716,2364,"Crane, Stephen",Active Service,http://www.gutenberg.org/ebooks/2364.txt.utf-8,Man-woman relationships -- Fiction,PS,Greece -- Fiction,Fathers and daughters -- Fiction,
14038,24827,"Richards, Laura Elizabeth Howe",Rita,http://www.gutenberg.org/ebooks/24827.txt.utf-8,Adventure and adventurers -- Fiction,PS,PZ,"Spanish-American War, 1898 -- Fiction",
14048,14018,"Richards, Laura Elizabeth Howe",Marie,http://www.gutenberg.org/ebooks/14018.txt.utf-8,Youth -- Conduct of life -- Juvenile fiction,Orphans -- Juvenile fiction,Street entertainers -- Juvenile fiction,PZ,Conduct of life -- Juvenile fiction
