,Book_ID,Author,Title,URL,LoC_class,Subject,Subject2,Subject3,Subject4
33435,13840,"Everett-Green, Evelyn",The Sign of the Red Cross: A Tale of Old London,http://www.gutenberg.org/ebooks/13840.txt.utf-8,Plague -- England -- London -- Juvenile fiction,"Great Fire, London, England, 1666 -- Juvenile fiction",Parent and child -- Juvenile fiction,PZ,Courtship -- Juvenile fiction
33503,41553,"Dowling, Richard",The Weird Sisters: A Romance. Volume 2 (of 3),http://www.gutenberg.org/ebooks/41553.txt.utf-8,PR,Paranoia -- Fiction,Bankers -- Fiction,Families -- Fiction,
34124,33403,"Stein, Gertrude",Geography and Plays,http://www.gutenberg.org/ebooks/33403.txt.utf-8,American drama -- 20th century,"Experimental fiction, American",Prose poems,PS,
34692,8219,"Foote, Mary Hallock",The Desert and the Sown,http://www.gutenberg.org/files/8219/8219-0.txt,West (U.S.) -- Fiction,New York (State) -- Fiction,PS,,
35143,32377,"Dahn, Felix","A Struggle for Rome, v. 3",http://www.gutenberg.org/ebooks/32377.txt.utf-8,Byzantine Empire -- Fiction,"Rome -- History -- Empire, 284-476 -- Fiction",PT,,
35271,546,"Stout, Rex",Under the Andes,http://www.gutenberg.org/ebooks/546.txt.utf-8,PS,Brothers -- Fiction,Incas -- Fiction,Adventure stories,Andes -- Fiction
35833,1036,"Lawson, Henry",Joe Wilson and His Mates,http://www.gutenberg.org/files/1036/1036-0.txt,PR,Frontier and pioneer life -- Australia -- Fiction,Australia -- Fiction,Historical fiction,
36558,30980,"Libbey, Laura Jean","Kidnapped at the Altar; Or, The Romance of that Saucy Jessie Bain",http://www.gutenberg.org/ebooks/30980.txt.utf-8,PS,Dime novels,Love stories,Adventure stories,Fiction
36714,25136,"Hocking, Joseph",The Pomp of Yesterday,http://www.gutenberg.org/ebooks/25136.txt.utf-8,PR,Methodist Church (Great Britain) -- Fiction,"World War, 1914-1918 -- Fiction",,
36794,19010,"Jepson, Edgar",The Admirable Tinker Child of the World,http://www.gutenberg.org/ebooks/19010.txt.utf-8,PR,Aeronautics -- Fiction,Adventure and adventurers -- Fiction,Fathers and sons -- Fiction,England -- Social life and customs -- Fiction
36897,4383,"Hémon, Louis",Maria Chapdelaine: A Tale of the Lake St. John Country,http://www.gutenberg.org/ebooks/4383.txt.utf-8,Québec (Province) -- Fiction,PQ,Québecois fiction -- Translations into English,French-Canadians -- Fiction,Frontier and pioneer life -- Québec (Province) -- Fiction
36964,3926,"Droz, Gustave","Monsieur, Madame, and Bébé — Complete",http://www.gutenberg.org/files/3926/3926-0.txt,Family life -- Fiction,French fiction -- Translations into English,PQ,,
37136,35671,"Robins, Elizabeth",The Messenger,http://www.gutenberg.org/ebooks/35671.txt.utf-8,PS,Spy stories,"World War, 1914-1918 -- Fiction",,
37150,12904,"Barbusse, Henri",Light,http://www.gutenberg.org/files/12904/12904-0.txt,PQ,"World War, 1914-1918 -- Fiction","War stories, French",,
37577,1971,"Butler, Samuel","Erewhon Revisited Twenty Years Later, Both by the Original Discoverer of the Country and by His Son",http://www.gutenberg.org/ebooks/1971.txt.utf-8,PR,Satire,Utopian fiction,Utopias -- Fiction,
38007,27587,"Davis, William Stearns",A Victor of Salamis,http://www.gutenberg.org/files/27587/27587-0.txt,PS,"Salamis, Battle of, Greece, 480 B.C. -- Fiction","Leonidas, King of Sparta, -480 B.C. -- Fiction",Greece -- History -- Fiction,"Themistocles, approximately 524 B.C.-approximately 459 B.C. -- Fiction"
38407,32271,"Dahn, Felix","A Struggle for Rome, v. 1",http://www.gutenberg.org/ebooks/32271.txt.utf-8,Byzantine Empire -- Fiction,"Rome -- History -- Empire, 284-476 -- Fiction",PT,,
38426,4050,"Bruce, Mary Grant",Mates at Billabong,http://www.gutenberg.org/ebooks/4050.txt.utf-8,PR,PZ,Family -- Juvenile fiction,Country life -- Australia -- Juvenile fiction,
38723,1906,"Butler, Samuel","Erewhon; Or, Over the Range",http://www.gutenberg.org/ebooks/1906.txt.utf-8,PR,Satire,Utopian fiction,Utopias -- Fiction,
39407,38865,"Wingfield, Lewis",The Maid of Honour: A Tale of the Dark Days of France. Vol. 1 (of 3),http://www.gutenberg.org/ebooks/38865.txt.utf-8,PR,"France -- History -- Revolution, 1789-1799 -- Fiction",Historical fiction,,
39439,38853,"Wingfield, Lewis",The Curse of Koshiu: A Chronicle of Old Japan,http://www.gutenberg.org/ebooks/38853.txt.utf-8,PR,Hojo family -- Fiction,Historical fiction,"Japan -- History -- Kamakura period, 1185-1333 -- Fiction",
39461,39218,"Hocking, Joseph",The Everlasting Arms,http://www.gutenberg.org/ebooks/39218.txt.utf-8,PR,England -- Social life and customs -- 20th century -- Fiction,Inheritance and succession -- Fiction,Good and evil -- Fiction,Angels -- Fiction
39807,24458,"Morrow, Honoré",Still Jim,http://www.gutenberg.org/ebooks/24458.txt.utf-8,Engineers -- Fiction,PS,PZ,Western stories,United States -- Fiction
39842,46588,"Hemyng, Bracebridge","Jack Harkaway in New York; or, The Adventures of the Travelers' Club",http://www.gutenberg.org/ebooks/46588.txt.utf-8,PZ,New York (N.Y.) -- Juvenile fiction,Adventure stories,,
39896,25463,"Hocking, Joseph",The Day of Judgment,http://www.gutenberg.org/ebooks/25463.txt.utf-8,PR,England -- Fiction,Methodists -- Fiction,,
40404,14409,"Adams, Henry",Esther,http://www.gutenberg.org/ebooks/14409.txt.utf-8,PS,Clergy -- Fiction,Man-woman relationships -- Fiction,Bildungsromans,Women painters -- Fiction
40425,34468,"Brebner, Percy James",Christopher Quarles: College Professor and Master Detective,http://www.gutenberg.org/ebooks/34468.txt.utf-8,PR,Detective and mystery stories,College teachers -- Fiction,,
40579,38394,"Palacio Valdés, Armando","The Fourth Estate, vol. 2",http://www.gutenberg.org/ebooks/38394.txt.utf-8,PQ,Spanish fiction -- Translations into English,Spain -- Social life and customs -- 19th century -- Fiction,,
40726,17455,"Chatterji, Bankim Chandra",The Poison Tree: A Tale of Hindu Life in Bengal,http://www.gutenberg.org/ebooks/17455.txt.utf-8,India -- Social life and customs -- Fiction,PK,Triangles (Interpersonal relations) -- Fiction,,
40740,32581,"Kelly, Myra",Little Aliens,http://www.gutenberg.org/ebooks/32581.txt.utf-8,PS,Teachers -- Fiction,Immigrant children -- Fiction,"Lower East Side (New York, N.Y.) -- Fiction",
40764,24976,"Hocking, Joseph",Roger Trewinion,http://www.gutenberg.org/ebooks/24976.txt.utf-8,PR,Methodist Church (Great Britain) -- Fiction,Cornwall (England : County) -- Fiction,,
41105,14748,"Everett-Green, Evelyn",For the Faith: A Story of the Young Pioneers of Reformation in Oxford,http://www.gutenberg.org/ebooks/14748.txt.utf-8,PZ,Faith -- Juvenile fiction,Youth -- Conduct of life -- Juvenile fiction,Conduct of life -- Juvenile fiction,Christian life -- Juvenile fiction
41169,13740,"Libbey, Laura Jean",Mischievous Maid Faynie,http://www.gutenberg.org/ebooks/13740.txt.utf-8,PS,Dime novels,Impostors and imposture -- Fiction,Adventure stories,Love stories
41190,43731,"Munro, Neil",Bud: A Novel,http://www.gutenberg.org/files/43731/43731-0.txt,PR,Psychological fiction,Americans -- Scotland -- Fiction,"Visitors, Foreign -- Fiction",Women household employees -- Fiction
41236,8730,"Bruce, Mary Grant",A Little Bush Maid,http://www.gutenberg.org/files/8730/8730-0.txt,PR,PZ,Australia -- Social conditions -- Juvenile fiction,"Adventure stories, Australian",Country life -- Australia -- Juvenile fiction
41246,44195,"Gibbon, Perceval",Flower o' the Peach,http://www.gutenberg.org/files/44195/44195-0.txt,PR,South Africa -- Fiction,Race relations -- Fiction,,
41262,10476,"Freeman, R. Austin (Richard Austin)",The Vanishing Man A Detective Romance,http://www.gutenberg.org/ebooks/10476.txt.utf-8,PR,"Thorndyke, Doctor (Fictitious character) -- Fiction",Detective and mystery stories,Physicians -- Fiction,London (England) -- Fiction
41649,24201,"Freeman, R. Austin (Richard Austin)",The Eye of Osiris,http://www.gutenberg.org/ebooks/24201.txt.utf-8,PR,"Thorndyke, Doctor (Fictitious character) -- Fiction",Detective and mystery stories,Physicians -- Fiction,London (England) -- Fiction
41868,38862,"Wingfield, Lewis","My Lords of Strogue, Vol. 2 (of 3) A Chronicle of Ireland, from the Convention to the Union",http://www.gutenberg.org/ebooks/38862.txt.utf-8,PR,Ireland -- History -- 18th century -- Fiction,Historical fiction,,
42280,12028,"Freeman, R. Austin (Richard Austin)",The Uttermost Farthing A Savant's Vendetta,http://www.gutenberg.org/ebooks/12028.txt.utf-8,PR,Vigilantes -- Fiction,Mystery and detective stories,,
43190,42596,"Dowling, Richard",The Last Call: A Romance (Vol. 2 of 3),http://www.gutenberg.org/ebooks/42596.txt.utf-8,PR,Mistaken identity -- Fiction,Man-woman relationships -- Fiction,,
43226,1877,"Peattie, Elia Wilkinson",A Mountain Woman,http://www.gutenberg.org/files/1877/1877-0.txt,"Short stories, American",PS,Fiction,,
44116,42600,"Dowling, Richard",Under St Paul's: A Romance,http://www.gutenberg.org/ebooks/42600.txt.utf-8,"St. Paul's Cathedral (London, England) -- Fiction",PR,Man-woman relationships -- Fiction,,
44297,41890,"French, Allen",The Barrier: A Novel,http://www.gutenberg.org/ebooks/41890.txt.utf-8,PS,City and town life -- Fiction,Social classes -- United States -- Fiction,Business -- Fiction,New England -- Social life and customs -- Fiction
