text	popularity	val	author	title
3464	High popularity	0.06240	Rinehart, Mary Roberts	Tish: The Chronicle of Her Escapades and Excursions
1858	High popularity	0.04028	Kipling, Rudyard	Plain Tales from the Hills
1622	High popularity	0.05145	Collins, Wilkie	The Law and the Lady
5818	High popularity	0.03674	Twain, Mark	The Gilded Age, Part 1.
111	High popularity	0.05546	Stratton-Porter, Gene	Freckles
49035	High popularity	0.03286	Besant, Walter	The Changeling
3244	High popularity	0.04694	Connor, Ralph	To Him That Hath: A Tale of the West of Today
26593	High popularity	0.04235	MacGrath, Harold	The Place of Honeymoons
50557	High popularity	0.04565	Johnston, Mary	Silver Cross
32169	High popularity	0.02704	Wiggin, Kate Douglas Smith	Susanna and Sue
4605	High popularity	0.04396	Collins, Wilkie	Basil
122	High popularity	0.04550	Hardy, Thomas	The Return of the Native
12964	High popularity	0.04622	Warner, Susan	Melbourne House, Volume 2
4917	High popularity	0.02796	Trollope, Anthony	The Kellys and the O'Kellys
20981	High popularity	0.04988	Hope, Anthony	Tristram of Blent: An Episode in the Story of an Ancient House
2348	High popularity	0.04592	Doyle, Arthur Conan	The Disappearance of Lady Frances Carfax
8897	High popularity	0.03196	Trollope, Anthony	Nina Balatka
7197	High popularity	0.05393	Twain, Mark	The Adventures of Tom Sawyer, Part 5.
267	High popularity	0.04855	Wharton, Edith	The Touchstone
30147	High popularity	0.04202	Warner, Susan	Opportunities
1624	High popularity	0.05686	Collins, Wilkie	The Two Destinies
14150	High popularity	0.06226	Bacheller, Irving	The Light in the Clearing: A Tale of the North Country in the Time of Silas Wright
52715	High popularity	0.04669	Deeping, Warwick	A Woman's War: A Novel
5895	High popularity	0.07178	Curwood, James Oliver	The Honor of the Big Snows
1388	High popularity	0.04456	Wister, Owen	Padre Ignacio; Or, The Song of Temptation
5362	High popularity	0.04169	Churchill, Winston	The Inside of the Cup — Volume 07
16918	High popularity	0.04550	Warner, Susan	Hills of the Shatemuc
1416	High popularity	0.04337	Dickens, Charles	Mrs. Lirriper's Lodgings
1587	High popularity	0.04774	Collins, Wilkie	The Black Robe
2559	High popularity	0.04462	Galsworthy, John	The Forsyte Saga, Volume I. The Man Of Property
1407	High popularity	0.04449	Dickens, Charles	A Message from the Sea
39216	High popularity	0.06710	Weyman, Stanley John	The Snowball
96	High popularity	0.06103	Burroughs, Edgar Rice	The Monster Men
5231	High popularity	0.03064	Trollope, Anthony	The Way We Live Now
49772	High popularity	0.04149	Johnston, Mary	Hagar
883	High popularity	0.04452	Dickens, Charles	Our Mutual Friend
5819	High popularity	0.02806	Twain, Mark	The Gilded Age, Part 2.
7248	High popularity	0.03871	Twain, Mark	A Connecticut Yankee in King Arthur's Court, Part 7.
15630	High popularity	0.02470	Wiggin, Kate Douglas Smith	Polly Oliver's Problem
42222	High popularity	0.04182	Hope, Anthony	Double Harness
13152	High popularity	0.04834	Doyle, Arthur Conan	The Firm of Girdlestone
483	High popularity	0.05575	Tarkington, Booth	The Conquest of Canaan
5359	High popularity	0.05255	Churchill, Winston	The Inside of the Cup — Volume 04
460	High popularity	0.05492	Burnett, Frances Hodgson	The Dawn of a To-morrow
30146	High popularity	0.03932	Warner, Susan	What She Could
3633	High popularity	0.05429	Collins, Wilkie	Jezebel's Daughter
18286	High popularity	0.04458	Glasgow, Ellen Anderson Gholson	The Miller Of Old Church
1939	High popularity	0.07038	Weyman, Stanley John	A Gentleman of France: Being the Memoirs of Gaston de Bonne Sieur de Marsac
